company_names,company_code,p/e_ratio
Astral Poly Technik,ASTRAL.NS,96.4
Varun Beverages,VBL.NS,96.8
Devyani International,DEVYANI.NS,97.3
ICICI Prulife,ICICIPRULI.NS,98.5
Radico Khaitan,RADICO.NS,99.5
DLF,DLF.NS,99.6
Titan Company,TITAN.NS,101
Astra Microwave,ASTRAMICRO.NS,101
HBL Power Systems,HBLPOWER.NS,102
KEC International,KEC.NS,103
Relaxo Footwear,RELAXO.NS,105
Suzlon,SUZLON.NS,108
Pidilite,PIDILITIND.NS,108
Ashiana Housing,ASHIANA.NS,110
Godrej Properties,GODREJPROP.NS,110
Thermax,THERMAX.NS,112
Glenmark Pharmaceuticals,GLENMARK.NS,114
Hindustan Copper,HINDCOPPER.NS,119
Jubilant FoodWorks,JUBLFOOD.NS,126
Igarashi Motors India,IGARASHI.NS,128
Multi Commodity Exchange,MCX.NS,130
DMart,DMART.NS,131
ABB India,ABB.NS,133
Linde India,LINDEINDIA.NS,134
Apollo Hospitals,APOLLOHOSP.NS,137
Schneider Electric Infrastructure,SCHNEIDER.NS,137
JBM Auto,JBMA.NS,143
Black Box,BBOX.NS,146
Adani Enterprises,ADANIENT.NS,149
VA Tech Wabag,WABAG.NS,158
Dixon Technologies,DIXON.NS,165
Radio City,RADIOCITY.NS,168
Adani Total Gas,ATGL.NS,183
United Breweries,UBL.NS,191
Oriental Aromatics,OAL.NS,207
Voltas,VOLTAS.NS,219
Borosil,BORORENEW.NS,219
Olectra Greentech,OLECTRA.NS,224
Trent Limited,TRENT.NS,289
MakeMyTrip,MMYT,291
Adani Green Energy,ADANIGREEN.NS,295
Adani Wilmar,AWL.NS,350
IFB Industries,IFBIND.NS,426
Puravankara,PURVA.NS,490
Tata Motors,TATAMOTORS.NS,509
3i Infotech,3IINFOLTD.NS,536
Mangalam Cement,MANGLMCEM.NS,628
Mahindra Lifespaces,MAHLIFE.NS,901
Nykaa,NYKAA.NS,> 1000
Jio Financial Services,JIOFIN.NS,> 1000
Srei Infrastructure Finance,SREINFRA.NS,-0.0110
Reliance Infrastructure,RELINFRA.NS,-1.74
TCNS Clothing,TCNSBRANDS.NS,-12.7
Tata Steel,TATASTEEL.NS,-33.1
PVR Cinemas,PVR.NS,-791
