company_names,company_code,earnings
Marksans Pharma,MARKSANS.NS,$52.37 M
Power Mech Projects,POWERMECH.NS,$52.33 M
Himatsingka Seide,HIMATSEIDE.NS,$52.09 M
Mastek,MASTEK.NS,$51.46 M
Neuland Laboratories,NEULANDLAB.NS,$50.74 M
MakeMyTrip,MMYT,$50.29 M
Galaxy Surfactants,GALAXYSURF.NS,$50.15 M
Zee Entertainment,ZEEL.NS,$49.21 M
Aarti Industries,AARTIIND.NS,$49.04 M
Hindustan Copper,HINDCOPPER.NS,$48.58 M
IndiaMART,INDIAMART.NS,$48.38 M
Allcargo Logistics,ALLCARGO.NS,$48.36 M
Jain Irrigation Systems,JISLDVREQS.NS,$48.3 M
Transport Corporation of India,TCI.NS,$47.16 M
Tata Teleservices,TTML.NS,$46.85 M
Blue Dart Express,BLUEDART.NS,$46.5 M
Gulf Oil Lubricants,GULFOILLUB.NS,$46.13 M
Voltamp Transformers,VOLTAMP.NS,$46 M
FDC India,FDC.NS,$45.97 M
Praj Industries,PRAJIND.NS,$45.45 M
Kalyani Steels,KSL.NS,$45.12 M
Action Construction Equipment,ACE.NS,$44.59 M
Radico Khaitan,RADICO.NS,$44.53 M
Edelweiss Financial Services,EDELWEISS.NS,$44.52 M
Happiest Minds Technologies,HAPPSTMNDS.NS,$43.24 M
BEML,BEML.NS,$43.04 M
PDS Multinational,PDSL.NS,$42.97 M
MOIL,MOIL.NS,$42.6 M
V-Guard Industries,VGUARD.NS,$42.55 M
BLS International,BLS.NS,$41.84 M
MSTC Limited,MSTCLTD.NS,$41.72 M
INEOS Styrolution,INEOSSTYRO.NS,$41.37 M
Amber Enterprises India,AMBER.NS,$41.36 M
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,$39.36 M
Gateway Distriparks,GATEWAY.NS,$38.99 M
Anant Raj,ANANTRAJ.NS,$38.98 M
Jaypee Group,JPASSOCIAT.NS,$38.77 M
KFin Technologies,KFINTECH.NS,$38.73 M
Hatsun Agro Products,HATSUN.NS,$38.69 M
Hindustan Oil Exploration Company,HINDOILEXP.NS,$38.3 M
Jubilant FoodWorks,JUBLFOOD.NS,$37.95 M
Cera Sanitaryware,CERA.NS,$37.52 M
HBL Power Systems,HBLPOWER.NS,$37.36 M
Delta Corp,DELTACORP.NS,$37.07 M
Orient Cement,ORIENTCEM.NS,$36.92 M
Kaveri Seed,KSCL.NS,$36.87 M
Ingersoll Rand India,INGERRAND.NS,$36.77 M
Whirlpool India,WHIRLPOOL.NS,$36.38 M
KCP Limited,KCP.NS,$36.31 M
Prince Pipes And Fittings,PRINCEPIPE.NS,$36.23 M
Tata Coffee,TATACOFFEE.NS,$35.99 M
Kuantum Papers,KUANTUM.NS,$34.9 M
Siyaram Silk Mills,SIYSIL.NS,$34.68 M
KSB ltd,KSB.NS,$34.56 M
Sheela Foam,SFL.NS,$34.23 M
Aarti Drugs,AARTIDRUGS.NS,$33.63 M
Southern Petrochemical Industries Corp,SPIC.NS,$33.55 M
Laurus Labs,LAURUSLABS.NS,$33.51 M
Nucleus Software Exports,NUCLEUS.NS,$33.5 M
Relaxo Footwear,RELAXO.NS,$33.01 M
Prakash Industries,PRAKASH.NS,$32.97 M
Vesuvius India,VESUVIUS.NS,$32.25 M
Jagran Prakashan,JAGRAN.NS,$32.15 M
Info Edge,NAUKRI.NS,$31.98 M
Black Box,BBOX.NS,$31.91 M
Zydus Wellness,ZYDUSWELL.NS,$30.99 M
Greenpanel Industries,GREENPANEL.NS,$30.86 M
Devyani International,DEVYANI.NS,$30.53 M
Cigniti Technologies,CIGNITITEC.NS,$30.43 M
Quess,QUESS.NS,$30.1 M
Dhampur Sugar Mills,DHAMPURSUG.NS,$29.52 M
Heidelbergcement India,HEIDELBERG.NS,$29.36 M
PTC Financial Services,PFS.NS,$29.19 M
Automotive Axles,AUTOAXLES.NS,$28.07 M
Gabriel India,GABRIEL.NS,$27.79 M
Wonderla Holidays,WONDERLA.NS,$27.77 M
Bajaj Electricals,BAJAJELEC.NS,$27.63 M
Sify,SIFY,$27.12 M
Safari Industries India,SAFARI.NS,$27.09 M
Hinduja Global Solutions,HGS.NS,$26.97 M
VRL Logistics,VRLLOG.NS,$26.84 M
Paisalo Digital,PAISALO.NS,$26.51 M
Greenlam Industries,GREENLAM.NS,$26.32 M
ESAB India,ESABINDIA.NS,$26.26 M
Schneider Electric Infrastructure,SCHNEIDER.NS,$26.16 M
India Glycols,INDIAGLYCO.NS,$25.83 M
Suprajit Engineering,SUPRAJIT.NS,$25.71 M
JBM Auto,JBMA.NS,$25.39 M
EaseMyTrip,EASEMYTRIP.NS,$25.34 M
Syrma SGS Technology,SYRMA.NS,$24.44 M
Infibeam Avenues,INFIBEAM.NS,$24.09 M
Kewal Kiran Clothing,KKCL.NS,$24 M
Hindustan Sanitaryware & Industries,HSIL.NS,$23.59 M
Mishra Dhatu Nigam,MIDHANI.NS,$23.26 M
Gokaldas Exports,GOKEX.NS,$23.12 M
Vaibhav Global,VAIBHAVGBL.NS,$23.03 M
Imagicaaworld Entertainment,IMAGICAA.NS,$22.91 M
MM Forgings,MMFL.NS,$22.39 M
Nilkamal,NILKAMAL.NS,$21.46 M
Tide Water Oil,TIDEWATER.NS,$21.31 M
Accelya,ACCELYA.NS,$21.23 M
Kingfa Science & Technology,KINGFA.NS,$20.95 M
Somany Ceramics,SOMANYCERA.NS,$20.57 M
Vadilal Industries,VADILALIND.NS,$20.41 M
Vst Tillers Tractors,VSTTILLERS.NS,$20.23 M
Federal-Mogul Goetze,FMGOETZE.NS,$20.2 M
Aether Industries,AETHER.NS,$20.16 M
MPS Limited,MPSLTD.NS,$19.97 M
MapmyIndia,MAPMYINDIA.NS,$19.66 M
Monte Carlo Fashions,MONTECARLO.NS,$19.22 M
Confidence Petroleum,CONFIPET.NS,$19.01 M
JSW Holdings,JSWHL.NS,$18.98 M
Parag Milk Foods,PARAGMILK.NS,$18.89 M
Geojit Financial Services,GEOJITFSL.NS,$18.78 M
Gallantt Ispat,GALLISPAT.NS,$18.66 M
Cosmo First,COSMOFIRST.NS,$18.61 M
Jindal Worldwide,JINDWORLD.NS,$18.24 M
VIP Industries,VIPIND.NS,$17.82 M
CARE's Ratings,CARERATING.NS,$17.69 M
Symphony Limited,SYMPHONY.NS,$17.63 M
MMTC,MMTC.NS,$17.59 M
Hikal,HIKAL.NS,$17.39 M
Greenply,GREENPLY.NS,$17.26 M
Indoco Remedies,INDOCO.NS,$17.16 M
The Tinplate Company Of India,TINPLATE.NS,$17.1 M
Lumax Industries,LUMAXIND.NS,$16.97 M
Lux Industries,LUXIND.NS,$16.55 M
Shalby,SHALBY.NS,$16.54 M
Jubilant Pharmova,JUBLPHARMA.NS,$16.48 M
Nykaa,NYKAA.NS,$16.43 M
Sandhar,SANDHAR.NS,$16.4 M
Orient Electric,ORIENTELEC.NS,$16.29 M
JTEKT India,JTEKTINDIA.NS,$16.08 M
Capacit'e Infraprojects,CAPACITE.NS,$15.75 M
Subros,SUBROS.NS,$15.65 M
Mangalam Cement,MANGLMCEM.NS,$15.64 M
Filatex India,FILATEX.NS,$15.52 M
Orient Paper Mills,ORIENTPPR.NS,$15.4 M
Polyplex,POLYPLEX.NS,$15.15 M
Bliss GVS Pharma,BLISSGVS.NS,$14.84 M
Rico Auto Industries,RICOAUTO.NS,$14.83 M
I.g. Petrochemicals,IGPL.NS,$14.64 M
Olectra Greentech,OLECTRA.NS,$14.61 M
Strides Pharma,STAR.NS,$14.33 M
Texmaco Rail & Engineering,TEXRAIL.NS,$14.29 M
GTPL Hathway,GTPL.NS,$14.24 M
Ethos Watches,ETHOSLTD.NS,$14.1 M
VA Tech Wabag,WABAG.NS,$13.91 M
Skipper Limited,SKIPPER.NS,$13.8 M
Honda Siel Power Products,HONDAPOWER.NS,$13.52 M
RPG Life Sciences,RPGLIFE.NS,$13.25 M
Nazara Technologies,NAZARA.NS,$12.96 M
SML Isuzu,SMLISUZU.NS,$12.88 M
Campus Activewear,CAMPUS.NS,$12.87 M
Astra Microwave,ASTRAMICRO.NS,$12.72 M
Rane Holdings,RANEHOLDIN.NS,$12.54 M
Anup Engineering,ANUP.NS,$12.35 M
Shankara Building,SHANKARA.NS,$12.32 M
India Tourism Development Corp,ITDC.NS,$12.14 M
India Motor Parts and Accessories,IMPAL.NS,$11.72 M
Ashiana Housing,ASHIANA.NS,$11.68 M
Nectar Lifesciences,NECLIFE.NS,$11.44 M
Sasken Technologies,SASKEN.NS,$11.36 M
