company_names,company_code,operating_margin
Igarashi Motors India,IGARASHI.NS,0.61%
Rajesh Exports,RAJESHEXPO.NS,0.43%
Texmaco Rail & Engineering,TEXRAIL.NS,0.07%
Kalyani Steels,KSL.NS,0.00%
MSTC Limited,MSTCLTD.NS,0.00%
Linde India,LINDEINDIA.NS,0.00%
Hudco,HUDCO.NS,0.00%
Granules India,GRANULES.NS,0.00%
IIFL Wealth Management,IIFLWAM.NS,0.00%
Black Box,BBOX.NS,0.00%
Ebixcash India,EBIXFOREX.NS,0.00%
eClerx Services,ECLERX.NS,0.00%
Hindustan Sanitaryware & Industries,HSIL.NS,0.00%
Gallantt Ispat,GALLISPAT.NS,0.00%
Imagicaaworld Entertainment,IMAGICAA.NS,0.00%
NCC Limited,NCC.NS,0.00%
IDFC,IDFC.NS,0.00%
Jump Networks,JUMPNET.NS,0.00%
Tata Communications,TATACOMM.NS,0.00%
L&T Technology Services,LTTS.NS,0.00%
AIA Engineering,AIAENG.NS,0.00%
Gokaldas Exports,GOKEX.NS,0.00%
Solar Industries India,SOLARINDS.NS,0.00%
Craftsman Automation,CRAFTSMAN.NS,0.00%
SML Isuzu,SMLISUZU.NS,-0.02%
IFB Industries,IFBIND.NS,-0.13%
Force Motors,FORCEMOT.NS,-0.25%
Network18,NETWORK18.NS,-0.25%
Asian Granito India,ASIANTILES.NS,-0.87%
Sequent Scientific,SEQUENT.NS,-2.01%
Hindustan Construction Company,HCC.NS,-2.31%
ReNew Power,RNW,-3.01%
JCI Hitachi India,JCHAC.NS,-3.43%
Spencer's Retail,SPENCERS.NS,-3.53%
Tejas Networks,TEJASNET.NS,-4.63%
PVR Cinemas,PVR.NS,-4.78%
Strides Pharma,STAR.NS,-5.19%
Alok Industries,ALOKINDS.NS,-5.45%
Azure Power,AZREF,-7.28%
Jaypee Group,JPASSOCIAT.NS,-7.48%
Hindustan Media Ventures,HMVL.NS,-8.61%
Zomato,ZOMATO.NS,-9.67%
Delhivery,DELHIVERY.NS,-9.98%
PB Fintech,POLICYBZR.NS,-10.85%
Hinduja Ventures,NXTDIGITAL.NS,-11.00%
Yatra,YTRA,-11.57%
Balaji Telefilms,BALAJITELE.NS,-11.66%
Religare,RELIGARE.NS,-12.23%
GE Power India,GEPIL.NS,-13.72%
Vodafone Idea,IDEA.NS,-14.10%
Paytm,PAYTM.NS,-16.83%
SpiceJet,SPICEJET.BO,-19.13%
Sanghi Industries,SANGHIIND.NS,-20.16%
Tata Steel Long Products,TATASTLLP.NS,-28.23%
Future Retail,FRETAIL.NS,-34.42%
Coffee Day Enterprises,COFFEEDAY.NS,-41.85%
Varroc,VARROC.NS,-49.06%
sterling & wilson solar,SWSOLAR.NS,-51.30%
Zee Learn,ZEELEARN.NS,-52.71%
Omaxe,OMAXE.NS,-52.86%
RattanIndia Power,RTNPOWER.NS,-53.68%
Unitech Group,UNITECH.NS,-58.37%
Reliance Communications,RCOM.NS,-61.46%
MEP Infrastructure,MEP.NS,-73.53%
Inox Wind,INOXWIND.NS,-88.60%
Dish TV,DISHTV.NS,-94.51%
SPARC,SPARC.NS,-97.83%
Tata Teleservices,TTML.NS,-103.48%
Future Supply Chain Solutions,FSC.NS,-112.32%
GTL Infrastructure,GTLINFRA.NS,-132.38%
Mahanagar Telephone Nigam,MTNL.NS,-226.29%
Srei Infrastructure Finance,SREINFRA.NS,-591.48%
Adani Energy Solutions,ADANIENSOL.NS,N/A
Jio Financial Services,JIOFIN.NS,N/A
Central Bank of India,CENTRALBK.NS,N/A
