company_names,company_code,market_cap
Jubilant Pharmova,JUBLPHARMA.NS,$1.23 B
Voltamp Transformers,VOLTAMP.NS,$1.22 B
Zydus Wellness,ZYDUSWELL.NS,$1.21 B
Infibeam Avenues,INFIBEAM.NS,$1.20 B
MapmyIndia,MAPMYINDIA.NS,$1.18 B
Safari Industries India,SAFARI.NS,$1.15 B
Praj Industries,PRAJIND.NS,$1.15 B
Mahindra Lifespaces,MAHLIFE.NS,$1.15 B
Shriram Pistons & Rings,SHRIPISTON.NS,$1.14 B
Network18,NETWORK18.NS,$1.12 B
Cera Sanitaryware,CERA.NS,$1.12 B
Craftsman Automation,CRAFTSMAN.NS,$1.11 B
Galaxy Surfactants,GALAXYSURF.NS,$1.09 B
HEG,HEG.NS,$1.09 B
Reliance Infrastructure,RELINFRA.NS,$1.08 B
Rajesh Exports,RAJESHEXPO.NS,$1.07 B
Karnataka Bank,KTKBANK.NS,$1.05 B
Kalpataru Power Transmission,KALPATPOWR.NS,$1.02 B
Quess,QUESS.NS,$1.02 B
Syrma SGS Technology,SYRMA.NS,$1.02 B
Rashtriya Chemicals and Fertilizers,RCF.NS,$0.97 B
Mastek,MASTEK.NS,$0.97 B
EaseMyTrip,EASEMYTRIP.NS,$0.97 B
Power Mech Projects,POWERMECH.NS,$0.96 B
Mishra Dhatu Nigam,MIDHANI.NS,$0.96 B
Varroc,VARROC.NS,$0.96 B
Neuland Laboratories,NEULANDLAB.NS,$0.95 B
Arvind,ARVIND.NS,$0.94 B
ESAB India,ESABINDIA.NS,$0.94 B
JSW Holdings,JSWHL.NS,$0.94 B
Paisalo Digital,PAISALO.NS,$0.93 B
Strides Pharma,STAR.NS,$0.92 B
Religare,RELIGARE.NS,$0.92 B
VIP Industries,VIPIND.NS,$0.91 B
Kirloskar Ferrous Industries,KIRLFER.NS,$0.91 B
Knr Constructions,KNRCON.NS,$0.89 B
FDC India,FDC.NS,$0.88 B
Marksans Pharma,MARKSANS.NS,$0.87 B
Greenlam Industries,GREENLAM.NS,$0.86 B
Campus Activewear,CAMPUS.NS,$0.86 B
Allcargo Logistics,ALLCARGO.NS,$0.85 B
Vesuvius India,VESUVIUS.NS,$0.85 B
Puravankara,PURVA.NS,$0.84 B
Borosil,BORORENEW.NS,$0.83 B
MOIL,MOIL.NS,$0.82 B
Jindal Worldwide,JINDWORLD.NS,$0.82 B
Prince Pipes And Fittings,PRINCEPIPE.NS,$0.82 B
Apollo Pipes,APOLLOPIPE.NS,$0.81 B
Symphony Limited,SYMPHONY.NS,$0.81 B
Transport Corporation of India,TCI.NS,$0.80 B
CSB Bank,CSBBANK.NS,$0.79 B
Sunteck Realty,SUNTECK.NS,$0.79 B
Edelweiss Financial Services,EDELWEISS.NS,$0.79 B
South Indian Bank,SOUTHBANK.NS,$0.78 B
Texmaco Rail & Engineering,TEXRAIL.NS,$0.77 B
Tata Coffee,TATACOFFEE.NS,$0.77 B
MSTC Limited,MSTCLTD.NS,$0.76 B
Spandana Sphoorty Financial,SPANDANA.NS,$0.75 B
PDS Multinational,PDSL.NS,$0.75 B
Time Technoplast,TIMETECHNO.NS,$0.75 B
Astra Microwave,ASTRAMICRO.NS,$0.74 B
Vaibhav Global,VAIBHAVGBL.NS,$0.74 B
Surya Roshni,SURYAROSNI.NS,$0.73 B
eMudhra,EMUDHRA.NS,$0.73 B
Ethos Watches,ETHOSLTD.NS,$0.73 B
Hindustan Construction Company,HCC.NS,$0.73 B
Rain Industries,RAIN.NS,$0.72 B
Gujarat Alkalies and Chemicals,GUJALKALI.NS,$0.72 B
IFB Industries,IFBIND.NS,$0.71 B
Suprajit Engineering,SUPRAJIT.NS,$0.71 B
Wonderla Holidays,WONDERLA.NS,$0.71 B
PTC India,PTC.NS,$0.71 B
Sundaram Finance,SUNDARMHLD.NS,$0.68 B
India Tourism Development Corp,ITDC.NS,$0.68 B
Sterlite Technologies,STLTECH.NS,$0.67 B
Gateway Distriparks,GATEWAY.NS,$0.66 B
Gulf Oil Lubricants,GULFOILLUB.NS,$0.64 B
Jaypee Group,JPASSOCIAT.NS,$0.62 B
Gabriel India,GABRIEL.NS,$0.61 B
Gokaldas Exports,GOKEX.NS,$0.60 B
VA Tech Wabag,WABAG.NS,$0.60 B
National Fertilizers,NFL.NS,$0.60 B
Nazara Technologies,NAZARA.NS,$0.59 B
VRL Logistics,VRLLOG.NS,$0.58 B
Ashoka Buildcon,ASHOKA.NS,$0.58 B
Black Box,BBOX.NS,$0.57 B
RattanIndia Power,RTNPOWER.NS,$0.56 B
Heidelbergcement India,HEIDELBERG.NS,$0.56 B
Aarti Drugs,AARTIDRUGS.NS,$0.56 B
Sudarshan Chemical,SUDARSCHEM.NS,$0.54 B
Kewal Kiran Clothing,KKCL.NS,$0.54 B
The Tinplate Company Of India,TINPLATE.NS,$0.54 B
Orient Electric,ORIENTELEC.NS,$0.54 B
Orient Cement,ORIENTCEM.NS,$0.53 B
JTEKT India,JTEKTINDIA.NS,$0.52 B
SpiceJet,SPICEJET.BO,$0.50 B
West Coast Paper Mills,WSTCSTPAPR.NS,$0.49 B
Imagicaaworld Entertainment,IMAGICAA.NS,$0.49 B
Hinduja Global Solutions,HGS.NS,$0.48 B
Greenpanel Industries,GREENPANEL.NS,$0.47 B
Indian Metals & Ferro Alloys,IMFA.NS,$0.47 B
Kalyani Steels,KSL.NS,$0.47 B
Hathway,HATHWAY.NS,$0.46 B
Jain Irrigation Systems,JISLDVREQS.NS,$0.45 B
Tata Steel Long Products,TATASTLLP.NS,$0.44 B
Hikal,HIKAL.NS,$0.44 B
Subros,SUBROS.NS,$0.44 B
Nucleus Software Exports,NUCLEUS.NS,$0.43 B
Skipper Limited,SKIPPER.NS,$0.43 B
Lux Industries,LUXIND.NS,$0.42 B
Cigniti Technologies,CIGNITITEC.NS,$0.42 B
