company_names,company_code,Dividend
Havells India,HAVELLS.NS,0.51%
Shalby,SHALBY.NS,0.51%
Vesuvius India,VESUVIUS.NS,0.50%
Milkfood Limited,MLKFOOD.BO,0.49%
Greenpanel Industries,GREENPANEL.NS,0.48%
Indian Railway Catering & Tourism,IRCTC.NS,0.48%
Blue Star,BLUESTARCO.NS,0.48%
Berger Paints,BERGEPAINT.NS,0.48%
Anup Engineering,ANUP.NS,0.48%
Somany Ceramics,SOMANYCERA.NS,0.48%
CEAT,CEATLTD.NS,0.48%
NBCC India,NBCC.NS,0.47%
Dalmia Bharat,DALBHARAT.NS,0.47%
DLF,DLF.NS,0.47%
Dhampur Sugar Mills,DHAMPURSUG.NS,0.46%
KEC International,KEC.NS,0.45%
Grasim Industries,GRASIM.NS,0.45%
Lux Industries,LUXIND.NS,0.45%
Cigniti Technologies,CIGNITITEC.NS,0.44%
Patanjali Foods,PATANJALI.NS,0.44%
Aurobindo Pharma,AUROPHARMA.NS,0.44%
VIP Industries,VIPIND.NS,0.44%
United Breweries,UBL.NS,0.44%
Bliss GVS Pharma,BLISSGVS.NS,0.44%
Ratnamani Metals & Tubes,RATNAMANI.NS,0.44%
Kokuyo Camlin,KOKUYOCMLN.NS,0.43%
AIA Engineering,AIAENG.NS,0.43%
Shriram Pistons & Rings,SHRIPISTON.NS,0.43%
Hikal,HIKAL.NS,0.43%
Bajaj Electricals,BAJAJELEC.NS,0.43%
Mahindra Lifespaces,MAHLIFE.NS,0.43%
JSW Steel,JSWSTEEL.NS,0.42%
Shree Cement,SHREECEM.NS,0.42%
V-Guard Industries,VGUARD.NS,0.41%
Godrej,GODREJCP.NS,0.41%
Polycab India,POLYCAB.NS,0.40%
Cantabil Retail India,CANTABIL.NS,0.40%
Whirlpool India,WHIRLPOOL.NS,0.40%
JSW Energy,JSWENERGY.NS,0.40%
Adani Ports & SEZ,ADANIPORTS.NS,0.40%
UltraTech Cement,ULTRACEMCO.NS,0.40%
Shankara Building,SHANKARA.NS,0.40%
Endurance Technologies,ENDURANCE.NS,0.40%
Asahi India Glass,ASAHIINDIA.NS,0.39%
Sunteck Realty,SUNTECK.NS,0.39%
Pidilite,PIDILITIND.NS,0.38%
IndiaMART,INDIAMART.NS,0.38%
JK Cement,JKCEMENT.NS,0.37%
India Tourism Development Corp,ITDC.NS,0.37%
United Spirits,UNITDSPR.BO,0.36%
Info Edge,NAUKRI.NS,0.36%
SBI Card,SBICARD.NS,0.36%
Granules India,GRANULES.NS,0.35%
KPIT Technologies,KPITTECH.NS,0.35%
Deepak Nitrite,DEEPAKNTR.NS,0.35%
Rajesh Exports,RAJESHEXPO.NS,0.35%
Marksans Pharma,MARKSANS.NS,0.35%
Zydus Wellness,ZYDUSWELL.NS,0.34%
Hindustan Copper,HINDCOPPER.NS,0.34%
Elgi Equipments,ELGIEQUIP.NS,0.34%
3M India,3MINDIA.NS,0.33%
BEML,BEML.NS,0.33%
Bharti Airtel,BHARTIARTL.NS,0.33%
APL Apollo,APLAPOLLO.NS,0.33%
Greenlam Industries,GREENLAM.NS,0.32%
JTEKT India,JTEKTINDIA.NS,0.31%
Hinduja Global Solutions,HGS.NS,0.31%
Syrma SGS Technology,SYRMA.NS,0.31%
Reliance Industries,RELIANCE.NS,0.31%
PI Industries,PIIND.NS,0.31%
HDFC Life,HDFCLIFE.NS,0.31%
Carborundum Universal,CARBORUNIV.NS,0.30%
Vidhi Specialty Food,VIDHIING.NS,0.30%
Relaxo Footwear,RELAXO.NS,0.30%
Astra Microwave,ASTRAMICRO.NS,0.30%
Nelco,NELCO.NS,0.29%
Wonderla Holidays,WONDERLA.NS,0.29%
SRF Limited,SRF.NS,0.29%
Craftsman Automation,CRAFTSMAN.NS,0.28%
Titan Company,TITAN.NS,0.28%
Jubilant FoodWorks,JUBLFOOD.NS,0.27%
Glenmark Pharmaceuticals,GLENMARK.NS,0.27%
EIH Limited,EIHOTEL.NS,0.26%
Thermax,THERMAX.NS,0.26%
Honeywell Automation India,HONAUT.NS,0.26%
Sudarshan Chemical,SUDARSCHEM.NS,0.26%
UNO Minda,UNOMINDA.NS,0.26%
Escorts Limited,ESCORTS.NS,0.25%
BASF India,BASF.NS,0.25%
Fortis Healthcare,FORTIS.NS,0.25%
Lupin Limited,LUPIN.NS,0.25%
Filatex India,FILATEX.NS,0.25%
Ramco Cements,RAMCOCEM.NS,0.25%
Jindal Steel & Power,JINDALSTEL.NS,0.24%
Apollo Hospitals,APOLLOHOSP.NS,0.24%
CG Power and Industrial Solutions,CGPOWER.NS,0.24%
Voltamp Transformers,VOLTAMP.NS,0.24%
Igarashi Motors India,IGARASHI.NS,0.24%
Aarti Industries,AARTIIND.NS,0.23%
BLS International,BLS.NS,0.23%
EaseMyTrip,EASEMYTRIP.NS,0.23%
Ramkrishna Forgings,RKFORGE.NS,0.23%
Aarti Drugs,AARTIDRUGS.NS,0.22%
Fine Organics,FINEORG.NS,0.22%
Mangalam Cement,MANGLMCEM.NS,0.22%
Greenply,GREENPLY.NS,0.22%
Tata Motors,TATAMOTORS.NS,0.21%
Wipro,WIT,0.21%
Siemens India,SIEMENS.NS,0.20%
Strides Pharma,STAR.NS,0.20%
Phoenix Mills,PHOENIXLTD.NS,0.20%
Astral Poly Technik,ASTRAL.NS,0.19%
ABB India,ABB.NS,0.19%
Subros,SUBROS.NS,0.19%
Radico Khaitan,RADICO.NS,0.19%
Cholamandalam Investment and Finance,CHOLAFIN.NS,0.19%
eMudhra,EMUDHRA.NS,0.18%
Ashiana Housing,ASHIANA.NS,0.18%
Indian Hotels Company,INDHOTEL.NS,0.18%
Lodha Group,LODHA.NS,0.18%
AU Small Finance Bank,AUBANK.NS,0.18%
Galaxy Surfactants,GALAXYSURF.NS,0.18%
Ipca Laboratories,IPCALAB.NS,0.17%
Raymond,RAYMOND.NS,0.17%
Larsen & Toubro,LT.NS,0.17%
MapmyIndia,MAPMYINDIA.NS,0.17%
Neuland Laboratories,NEULANDLAB.NS,0.17%
Anant Raj,ANANTRAJ.NS,0.16%
Oriental Aromatics,OAL.NS,0.16%
CenturyPly,CENTURYPLY.NS,0.16%
Paisalo Digital,PAISALO.NS,0.16%
Prestige Group,PRESTIGE.NS,0.14%
Force Motors,FORCEMOT.NS,0.14%
Infibeam Avenues,INFIBEAM.NS,0.14%
Gokaldas Exports,GOKEX.NS,0.14%
Astec Lifesciences,ASTEC.NS,0.14%
Max Healthcare Institute,MAXHEALTH.NS,0.13%
Madras Rubber Factory,MRF.NS,0.13%
Bodal Chemicals,BODALCHEM.NS,0.13%
Safari Industries India,SAFARI.NS,0.13%
Varun Beverages,VBL.NS,0.13%
Linde India,LINDEINDIA.NS,0.12%
Confidence Petroleum,CONFIPET.NS,0.11%
Syngene International,SYNGENE.NS,0.11%
Apollo Tyres,APOLLOTYRE.NS,0.11%
ICICI Prulife,ICICIPRULI.NS,0.10%
Bajaj Finserv,BAJAJFINSV.NS,0.10%
HBL Power Systems,HBLPOWER.NS,0.10%
Knr Constructions,KNRCON.NS,0.10%
Axis Bank,AXISBANK.BO,0.10%
Tube Investments of India,TIINDIA.NS,0.09%
Apollo Pipes,APOLLOPIPE.NS,0.09%
Texmaco Rail & Engineering,TEXRAIL.NS,0.09%
Solar Industries India,SOLARINDS.NS,0.09%
ZF Commercial Vehicle Control Systems India,ZFCVINDIA.NS,0.09%
Kotak Mahindra Bank,KOTAKBANK.NS,0.09%
Bombay Burmah,BBTC.NS,0.08%
Bharat Dynamics,BDL.NS,0.07%
Action Construction Equipment,ACE.NS,0.07%
JBM Auto,JBMA.NS,0.07%
Gujarat Fluorochemicals,FLUOROCHEM.NS,0.06%
Welspun India,WELSPUNIND.NS,0.06%
Jindal Worldwide,JINDWORLD.NS,0.06%
KCP Limited,KCP.NS,0.06%
Trent Limited,TRENT.NS,0.06%
Timken India,TIMKEN.NS,0.05%
Power Mech Projects,POWERMECH.NS,0.04%
Dixon Technologies,DIXON.NS,0.04%
eClerx Services,ECLERX.NS,0.04%
Vadilal Industries,VADILALIND.NS,0.04%
Adani Enterprises,ADANIENT.NS,0.04%
Skipper Limited,SKIPPER.NS,0.04%
Adani Total Gas,ATGL.NS,0.03%
N.B.I. Industrial Finance,NBIFIN.NS,0.02%
Olectra Greentech,OLECTRA.NS,0.02%
Srei Infrastructure Finance,SREINFRA.NS,0.00%
Parag Milk Foods,PARAGMILK.NS,0.00%
Reliance Infrastructure,RELINFRA.NS,0.00%
TCNS Clothing,TCNSBRANDS.NS,0.00%
Borosil,BORORENEW.NS,0.00%
PVR Cinemas,PVR.NS,0.00%
Varroc,VARROC.NS,0.00%
Mankind Pharma,MANKIND.NS,0.00%
SBI Life Insurance,SBILIFE.NS,0.00%
Spandana Sphoorty Financial,SPANDANA.NS,0.00%
Avalon Technologies,AVALON.NS,0.00%
Spencer's Retail,SPENCERS.NS,0.00%
MakeMyTrip,MMYT,0.00%
ReNew Power,RNW,0.00%
KFin Technologies,KFINTECH.NS,0.00%
Tata Teleservices,TTML.NS,0.00%
Prime Focus,PFOCUS.NS,0.00%
Hinduja Ventures,NXTDIGITAL.NS,0.00%
Godrej Properties,GODREJPROP.NS,0.00%
Sequent Scientific,SEQUENT.NS,0.00%
Gati,GATI.NS,0.00%
Hindustan Oil Exploration Company,HINDOILEXP.NS,0.00%
Adani Wilmar,AWL.NS,0.00%
PB Fintech,POLICYBZR.NS,0.00%
Piramal Pharma,PPLPHARMA.NS,0.00%
Sanghi Industries,SANGHIIND.NS,0.00%
GMR Group,GMRINFRA.NS,0.00%
Adani Energy Solutions,ADANIENSOL.NS,0.00%
Aavas Financiers,AAVAS.NS,0.00%
Dish TV,DISHTV.NS,0.00%
IDFC FIRST Bank,IDFCFIRSTB.NS,0.00%
JSW Holdings,JSWHL.NS,0.00%
Jio Financial Services,JIOFIN.NS,0.00%
KIOCL,KIOCL.NS,0.00%
Ethos Watches,ETHOSLTD.NS,0.00%
Balaji Telefilms,BALAJITELE.NS,0.00%
MEP Infrastructure,MEP.NS,0.00%
GE Power India,GEPIL.NS,0.00%
Yes Bank,YESBANK.NS,0.00%
IIFL Wealth Management,IIFLWAM.NS,0.00%
Black Box,BBOX.NS,0.00%
