company_names,company_code,market_cap
Hathway,HATHWAY.NS,$0.43 B
Subros,SUBROS.NS,$0.42 B
Jain Irrigation Systems,JISLDVREQS.NS,$0.42 B
SpiceJet,SPICEJET.BO,$0.42 B
Cigniti Technologies,CIGNITITEC.NS,$0.41 B
Hikal,HIKAL.NS,$0.40 B
CARE's Ratings,CARERATING.NS,$0.40 B
Lux Industries,LUXIND.NS,$0.40 B
Skipper Limited,SKIPPER.NS,$0.39 B
Indian Metals & Ferro Alloys,IMFA.NS,$0.39 B
Dish TV,DISHTV.NS,$0.39 B
Nucleus Software Exports,NUCLEUS.NS,$0.39 B
Avalon Technologies,AVALON.NS,$0.38 B
Kaveri Seed,KSCL.NS,$0.38 B
Delta Corp,DELTACORP.NS,$0.38 B
Anup Engineering,ANUP.NS,$0.38 B
Vadilal Industries,VADILALIND.NS,$0.37 B
Indoco Remedies,INDOCO.NS,$0.36 B
Prime Focus,PFOCUS.NS,$0.35 B
Sandhar,SANDHAR.NS,$0.35 B
Prakash Industries,PRAKASH.NS,$0.35 B
Dollar Industries,DOLLAR.NS,$0.35 B
Mahindra Logistics,MAHLOG.NS,$0.35 B
Vst Tillers Tractors,VSTTILLERS.NS,$0.34 B
Sequent Scientific,SEQUENT.NS,$0.34 B
Greenply,GREENPLY.NS,$0.34 B
SML Isuzu,SMLISUZU.NS,$0.33 B
Ashiana Housing,ASHIANA.NS,$0.33 B
Confidence Petroleum,CONFIPET.NS,$0.33 B
Automotive Axles,AUTOAXLES.NS,$0.33 B
MPS Limited,MPSLTD.NS,$0.32 B
Filatex India,FILATEX.NS,$0.32 B
JCI Hitachi India,JCHAC.NS,$0.32 B
Nilkamal,NILKAMAL.NS,$0.31 B
Shalby,SHALBY.NS,$0.31 B
Somany Ceramics,SOMANYCERA.NS,$0.31 B
Accelya,ACCELYA.NS,$0.30 B
Quick Heal,QUICKHEAL.NS,$0.30 B
Apollo Pipes,APOLLOPIPE.NS,$0.30 B
Repco Home Finance,REPCOHOME.NS,$0.30 B
Polyplex,POLYPLEX.NS,$0.30 B
Unitech Group,UNITECH.NS,$0.30 B
RPG Life Sciences,RPGLIFE.NS,$0.30 B
Tide Water Oil,TIDEWATER.NS,$0.29 B
India Glycols,INDIAGLYCO.NS,$0.29 B
Parag Milk Foods,PARAGMILK.NS,$0.28 B
PTC Financial Services,PFS.NS,$0.28 B
Sasken Technologies,SASKEN.NS,$0.27 B
Capacit'e Infraprojects,CAPACITE.NS,$0.27 B
Huhtamaki India,HUHTAMAKI.NS,$0.27 B
Vidhi Specialty Food,VIDHIING.NS,$0.27 B
Sanghi Industries,SANGHIIND.NS,$0.27 B
Honda Siel Power Products,HONDAPOWER.NS,$0.26 B
KCP Limited,KCP.NS,$0.26 B
Kingfa Science & Technology,KINGFA.NS,$0.26 B
Hindustan Oil Exploration Company,HINDOILEXP.NS,$0.26 B
Wendt India,WENDT.NS,$0.26 B
Jindal Poly Films,JINDALPOLY.NS,$0.26 B
Jagran Prakashan,JAGRAN.NS,$0.26 B
Astec Lifesciences,ASTEC.NS,$0.26 B
TCNS Clothing,TCNSBRANDS.NS,$0.25 B
Lumax Industries,LUMAXIND.NS,$0.25 B
MM Forgings,MMFL.NS,$0.25 B
Alembic Limited,ALEMBICLTD.NS,$0.25 B
GTL Infrastructure,GTLINFRA.NS,$0.25 B
Mahanagar Telephone Nigam,MTNL.NS,$0.25 B
Barbeque Nation Hospitality,BARBEQUE.NS,$0.24 B
Hyderabad Industries Limited,HIL.NS,$0.24 B
Hindustan Sanitaryware & Industries,HSIL.NS,$0.24 B
Siyaram Silk Mills,SIYSIL.NS,$0.24 B
GTPL Hathway,GTPL.NS,$0.23 B
Rupa Company,RUPA.NS,$0.23 B
Rico Auto Industries,RICOAUTO.NS,$0.23 B
Mangalam Cement,MANGLMCEM.NS,$0.23 B
Sify,SIFY,$0.23 B
Foseco India,FOSECOIND.NS,$0.22 B
Cantabil Retail India,CANTABIL.NS,$0.22 B
Gallantt Ispat,GALLISPAT.NS,$0.22 B
Federal-Mogul Goetze,FMGOETZE.NS,$0.21 B
